Batch_No,EC50_nM,Set,Molecular_Weight,ALogP,ID,ROMol,hERG_Prediction,hERG_Probability,Risk_Level
OSSK_722448,6.71,Drug-like,341.71884,4.806,MMV665874,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3D80>,1,0.695,MEDIUM
STK772453,300,Probe-like,319.4433,4.071,MMV006203,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2570>,1,0.8846666666666667,HIGH
5846950,205,Probe-like,456.50656,4.319,MMV665977,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2420>,1,0.703,MEDIUM
E950-0299,274,Drug-like,398.50014,4.628,MMV020549,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2260>,1,0.755,MEDIUM
G786-1388,206,Drug-like,327.42392,3.378,MMV001246,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1F50>,1,0.515,MEDIUM
K060-0030,142,Probe-like,281.26944,2.763,MMV666607,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A14D0>,1,0.575,MEDIUM
F2536-1874,448,Drug-like,420.47768,3.271,MMV665915,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A11C0>,0,0.43799999999999994,LOW
STK266148,179,Probe-like,657.7524,7.237,MMV007695,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A10E0>,1,0.58,MEDIUM
STK589099,235,Probe-like,279.37944,3.363,MMV000448,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0C10>,1,0.905,HIGH
STK727106,82.2,Drug-like,249.73924,2.154,MMV020500,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3F40>,1,0.7616666666666666,MEDIUM
OSSK_938413,139,Drug-like,367.39844,2.717,MMV665878,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3E60>,1,0.78,MEDIUM
BAS 00447942,148,Probe-like,631.71511,6.994,MMV666101,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3DF0>,1,0.625,MEDIUM
0954-1171,135,Probe-like,468.09696,8.656,MMV666596,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3BC0>,1,0.745,MEDIUM
G420-0224,89.9,Probe-like,492.90124,5.162,MMV396679,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3B50>,1,0.71,MEDIUM
7848-0024,477,Drug-like,309.3226,1.542,MMV396797,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3AE0>,1,0.555,MEDIUM
1323-0025,350,Drug-like,361.22196,1.773,MMV008138,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3A70>,1,0.7,MEDIUM
F3407-3786,72.6,Drug-like,353.37186,1.645,MMV665916,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3990>,1,0.85,HIGH
STK547743,22.6,Probe-like,271.3972,3.6,MMV020788,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A38B0>,1,0.715,MEDIUM
STK742914,168,Probe-like,340.39624,3.746,MMV666691,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A37D0>,1,0.72,MEDIUM
AA-516/12432314,161,Probe-like,261.40238,4.384,MMV665785,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A36F0>,1,0.77,MEDIUM
OSSK_999139,205,Probe-like,426.52853,4.334,MMV665831,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3610>,1,0.755,MEDIUM
BAS 1083130,242,Drug-like,275.30791,3.52,MMV011099,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3530>,1,0.705,MEDIUM
E456-0694,20.2,Probe-like,468.9956,5.092,MMV000642,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A34C0>,1,0.725,MEDIUM
2729-0445,215.5,Probe-like,459.92087,6.819,MMV666600,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3450>,1,0.69875,MEDIUM
0075-0068,141.5,Probe-like,368.47416,5.022,MMV006172,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A33E0>,1,0.89,HIGH
5169-1112,51.5,Probe-like,292.33184,3.77,MMV006309,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3300>,1,0.76,MEDIUM
STK205941,58.1,Drug-like,277.7924,3.325,MMV006087,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3290>,1,0.8216666666666665,HIGH
STK036779,25.5,Drug-like,309.81103,3.504,MMV020492,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3220>,1,0.7075,MEDIUM
STK551213,196,Drug-like,370.4852,3.971,MMV006455,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3140>,1,0.765,MEDIUM
AE-562/12222560,42.3,Drug-like,324.41675,2.62,MMV665782,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A30D0>,1,0.87,HIGH
OSSL_029888,259,Drug-like,326.43915,4.285,MMV665876,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3060>,1,0.6820833333333334,MEDIUM
5566248,36.8,Probe-like,453.53712,8.504,MMV666023,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2FF0>,1,0.76,MEDIUM
1988-0051,293,Drug-like,322.44394,4.479,MMV009063,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2F80>,1,0.8816666666666666,HIGH
C276-0117,268,Probe-like,287.78392,4.908,MMV006558,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2F10>,1,0.752,MEDIUM
3824-0081,24.8,Probe-like,621.76834,8.041,MMV007160,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2EA0>,1,0.56,MEDIUM
E456-0698,32.8,Drug-like,409.50132,3.582,MMV006429,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2DC0>,1,0.62,MEDIUM
STK545265,406,Drug-like,317.8165,3.349,MMV396703,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2D50>,1,0.8366666666666666,HIGH
STK851529,396,Drug-like,279.33638,4.353,MMV006937,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2CE0>,1,0.5633333333333332,MEDIUM
STK565927,5.3,Probe-like,362.42167,3.719,MMV085203,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2B90>,1,0.82,HIGH
OSSK_324941,520,Drug-like,293.53048,3.134,MMV665820,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2B20>,1,0.59,MEDIUM
OSSL_050662,146,Probe-like,273.32696,3.125,MMV665841,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2AB0>,1,0.59,MEDIUM
5185336,351,Drug-like,245.2738,2.92,MMV007116,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A29D0>,1,0.665,MEDIUM
6844-3272,176.5,Probe-like,460.52646,6.653,MMV007384,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2960>,1,0.885,HIGH
E950-0300,361,Drug-like,413.51478,3.765,MMV020548,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A28F0>,1,0.765,MEDIUM
G856-2051,170,Drug-like,397.49061,4.159,MMV019258,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2880>,1,0.585,MEDIUM
2251-3046,106,Probe-like,334.38522,3.511,MMV007686,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2810>,1,0.76,MEDIUM
STK850448,212,Drug-like,327.69226,4.32,MMV011256,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2730>,1,0.7233333333333333,MEDIUM
STK019462,23.8,Drug-like,309.31599,3.575,MMV666693,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2650>,1,0.72,MEDIUM
STK678779,370,Drug-like,377.86185,4.125,MMV008956,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A25E0>,1,0.72,MEDIUM
OSSK_363087,119,Probe-like,346.39592,3.364,MMV665827,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2490>,0,0.3991666666666667,LOW
OSSL_323940,428,Drug-like,308.37759,3.13,MMV001038,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A22D0>,1,0.775,MEDIUM
6880895,283,Drug-like,312.18947,2.609,MMV007839,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2180>,1,0.655,MEDIUM
E456-0903,36.7,Drug-like,434.55054,4.427,MMV000662,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2110>,1,0.69,MEDIUM
G420-0024,218,Probe-like,462.87526,5.178,MMV396678,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A20A0>,1,0.7433333333333334,MEDIUM
0352-0621,251,Probe-like,355.43233,4.324,MMV006861,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2030>,1,0.8866666666666666,HIGH
C200-6897,118,Probe-like,293.3166,3.925,MMV006457,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1E00>,1,0.76375,MEDIUM
STL036739,296,Probe-like,254.30704,2.809,MMV396693,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1D90>,1,0.8,HIGH
STK596265,516,Drug-like,389.78973,3.52,MMV011567,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1D20>,1,0.615,MEDIUM
STK070268,350,Drug-like,267.34882,3.451,MMV007907,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1CB0>,1,0.635,MEDIUM
OSSK_551212,117,Drug-like,367.39843,4.056,MMV665805,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1C40>,1,0.59,MEDIUM
5215436,94.4,Probe-like,272.30068,4.166,MMV666021,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1B60>,1,0.58,MEDIUM
AN-153/41789037,1370,Drug-like,347.83588,4.328,MMV665800,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1AF0>,1,0.83875,HIGH
E235-1811,648,Drug-like,450.57148,4.786,MMV000634,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1A80>,1,0.7325,MEDIUM
BAS 02538915,1000,Drug-like,441.8545,4.828,MMV666103,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A19A0>,1,0.72875,MEDIUM
7515644,ND,Drug-like,420.67648,4.242,MMV666057,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1930>,1,0.57,MEDIUM
C776-3612,947,Drug-like,444.59172,4.708,MMV007564,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A18C0>,1,0.83,HIGH
G856-5516,538,Drug-like,384.49185,3.898,MMV001255,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1770>,1,0.795,MEDIUM
F5123-0125,ND,Drug-like,357.79754,1.693,MMV665917,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1690>,1,0.58,MEDIUM
STK789055,845,Drug-like,371.45158,4.978,MMV000563,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1620>,1,0.725,MEDIUM
OSSK_331359,ND,Drug-like,273.71758,3.229,MMV665850,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1540>,1,0.775,MEDIUM
OSSK_686933,ND,Drug-like,319.48151,4.331,MMV665817,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A13F0>,1,0.745,MEDIUM
5452589,685,Drug-like,362.4318,4.325,MMV665979,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A12A0>,1,0.96,HIGH
1J-343S,642,Drug-like,338.27144,4.875,MMV665928,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1230>,1,0.69375,MEDIUM
ASN 05580082,1190,Drug-like,494.64555,4.641,MMV666105,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0F90>,1,0.8,HIGH
33404729,ND,Drug-like,438.8953,3.66,MMV666072,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0F20>,1,0.87,HIGH
E456-0851,1320,Drug-like,462.6037,4.783,MMV000653,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0E40>,1,0.59875,MEDIUM
D170-0309,ND,Drug-like,343.89024,4.722,MMV000620,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0D60>,1,0.838,HIGH
F0447-0250,1360,Drug-like,360.2284,3.585,MMV665909,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0CF0>,1,0.55,MEDIUM
STK860361,560,Drug-like,293.3166,3.941,MMV665940,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3ED0>,1,0.78375,MEDIUM
OSSK_362093,1070,Drug-like,270.32786,4.789,MMV665891,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3C30>,1,0.705,MEDIUM
OSSK_693188,ND,Drug-like,340.77866,4.662,MMV665899,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3920>,1,0.59,MEDIUM
6803678,ND,Drug-like,368.903,4.446,MMV665961,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3840>,1,0.845,HIGH
1J-340S,843,Drug-like,338.27144,4.954,MMV665929,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A3680>,1,0.85375,HIGH
LMG 15495828,1140,Drug-like,400.94155,3.86,MMV666108,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A31B0>,1,0.79,MEDIUM
6102618,ND,Drug-like,348.18014,4.906,MMV665948,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2C00>,1,0.725,MEDIUM
2294-0307,890.5,Drug-like,382.86176,2.056,MMV006188,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2A40>,1,0.6975,MEDIUM
G856-6988,ND,Drug-like,395.51779,4.673,MMV001230,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A26C0>,1,0.775,MEDIUM
F0676-0401,ND,Drug-like,423.42026,3.469,MMV665918,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A2340>,1,0.59,MEDIUM
AP-064/41684892,ND,Drug-like,381.81234,2.896,MMV665799,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1BD0>,1,0.675,MEDIUM
OSSK_454135,1090,Drug-like,319.35717,2.973,MMV665826,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1A10>,1,0.805,HIGH
OSSK_695730,ND,Drug-like,315.67496,3.979,MMV665807,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A17E0>,1,0.645,MEDIUM
65099020,1160,Drug-like,388.50532,4.483,MMV665946,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1700>,1,0.805,HIGH
1L-310S,ND,Drug-like,290.24326,3.126,MMV665935,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A15B0>,1,0.66,MEDIUM
BAS 00255317,ND,Drug-like,252.31434,2.686,MMV666102,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1380>,1,0.605,MEDIUM
45705462,530,Drug-like,384.48696,4.12,MMV666061,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A1310>,1,0.948,HIGH
G119-1284,ND,Drug-like,376.42344,4.723,MMV008149,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1A0EB0>,1,0.735,MEDIUM
C095-0296,1860,Drug-like,434.53069,4.261,MMV019074,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507E60>,1,0.79,MEDIUM
F0688-0079,ND,Drug-like,487.01418,3.618,MMV665914,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507DF0>,1,0.77,MEDIUM
AJ-333/13050020,ND,Drug-like,366.33922,4.447,MMV665798,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507D80>,1,0.68,MEDIUM
OSSK_579474,893,Drug-like,443.37998,4.036,MMV665902,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507D10>,1,0.8871666666666667,HIGH
OSSK_705361,ND,Drug-like,440.4474,4.475,MMV665888,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507CA0>,1,0.65,MEDIUM
75120263,663,Drug-like,479.9984,4.566,MMV666067,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507C30>,1,0.8825,HIGH
9R-1320,ND,Drug-like,346.41906,3.839,MMV665939,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507BC0>,1,0.615,MEDIUM
1988-2001,ND,Drug-like,274.38122,3.427,MMV009060,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507B50>,1,0.755,MEDIUM
44018051-1,1750,Drug-like,411.62324,4.233,MMV666110,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507AE0>,1,0.7383333333333334,MEDIUM
C066-0283,ND,Drug-like,405.48947,4.252,MMV019758,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507A70>,1,0.7766666666666666,MEDIUM
C126-0030,ND,Drug-like,363.4528,4.669,MMV000498,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507A00>,1,0.675,MEDIUM
F2557-0175,ND,Drug-like,416.51379,3.562,MMV665913,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507990>,1,0.56375,MEDIUM
AE-848/42278673,603,Drug-like,261.74664,3.751,MMV665789,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507920>,1,0.84,HIGH
OSSK_607196,1360,Drug-like,441.31773,4.329,MMV665901,<rdkit.Chem.rdchem.Mol object at 0x00000240F95078B0>,1,0.73,MEDIUM
67378588,1430,Drug-like,418.57436,4.707,MMV666069,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507840>,1,0.8675,HIGH
BAS 01540904,1170,Drug-like,354.40122,4.178,MMV666080,<rdkit.Chem.rdchem.Mol object at 0x00000240F95077D0>,1,0.525,MEDIUM
BAS 00333853,ND,Drug-like,201.2643,3.455,MMV666081,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507760>,1,0.72875,MEDIUM
5231213,994,Drug-like,268.31044,3.524,MMV666009,<rdkit.Chem.rdchem.Mol object at 0x00000240F95076F0>,1,0.73,MEDIUM
C498-0579,669,Drug-like,397.53367,3.536,MMV019313,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507680>,1,0.8696666666666667,HIGH
C797-0291,1330,Drug-like,495.05939,4.09,MMV019746,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507610>,1,0.875,HIGH
C453-0221,1300,Drug-like,493.59622,4.623,MMV019064,<rdkit.Chem.rdchem.Mol object at 0x00000240F95075A0>,1,0.675,MEDIUM
STL156039,854,Drug-like,310.35041,2.141,MMV011944,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507530>,1,0.815,HIGH
AN-153/41789053,728,Drug-like,377.86185,4.311,MMV665803,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507450>,1,0.71875,MEDIUM
OSSK_617780,ND,Drug-like,349.85175,3.798,MMV665857,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507370>,1,0.825,HIGH
59603835,ND,Drug-like,413.51148,4.59,MMV666071,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507300>,1,0.805,HIGH
C782-1308,697,Drug-like,497.73891,3.879,MMV019780,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507290>,1,0.7113333333333333,MEDIUM
ASN 05550739,ND,Drug-like,386.4912,3.005,MMV666093,<rdkit.Chem.rdchem.Mol object at 0x00000240F95071B0>,1,0.7033333333333335,MEDIUM
5402867,2060,Drug-like,333.57282,4.721,MMV665953,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507140>,1,0.5479999999999999,MEDIUM
E456-0718,ND,Drug-like,448.57712,4.434,MMV000648,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507060>,1,0.675,MEDIUM
G856-4237,1110,Drug-like,465.58449,4.632,MMV019662,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506FF0>,1,0.745,MEDIUM
K786-7743,635,Drug-like,301.40326,3.619,MMV007571,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506F10>,1,0.52,MEDIUM
STK738523,1790,Drug-like,335.4427,3.897,MMV007617,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506EA0>,1,0.8,HIGH
AN-153/41789078,1430,Drug-like,422.31286,4.395,MMV665796,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506E30>,1,0.70375,MEDIUM
OSSK_621210,535,Drug-like,440.51535,3.575,MMV665906,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506DC0>,1,0.57,MEDIUM
15059199,1720,Drug-like,390.49797,4.186,MMV665954,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506D50>,0,0.47,LOW
E158-0155,771,Drug-like,391.48114,3.986,MMV019738,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506C70>,1,0.88,HIGH
BAS 00334901,ND,Drug-like,254.32692,3.739,MMV666075,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506C00>,1,0.802,HIGH
40605984,ND,Drug-like,445.5204,4.703,MMV666070,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506B90>,1,0.89,HIGH
2043-0379,ND,Drug-like,310.41332,4.64,MMV142383,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506B20>,1,0.68,MEDIUM
D014-0054,697,Drug-like,425.95102,4.672,MMV000788,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506A40>,1,0.74,MEDIUM
C453-0352,1430,Drug-like,458.61675,4.579,MMV000561,<rdkit.Chem.rdchem.Mol object at 0x00000240F95069D0>,1,0.81,HIGH
STK529061,718.5,Drug-like,421.36334,4.397,MMV000248,<rdkit.Chem.rdchem.Mol object at 0x00000240F95068F0>,1,0.835,HIGH
OSSK_331037,ND,Drug-like,412.48366,4.721,MMV665879,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506880>,1,0.705,MEDIUM
OSSK_646508,ND,Drug-like,339.34528,3.358,MMV665890,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506810>,1,0.59,MEDIUM
46986671-1,548,Drug-like,354.46098,4.136,MMV666116,<rdkit.Chem.rdchem.Mol object at 0x00000240F95067A0>,1,0.7879999999999999,MEDIUM
STK027587,1290,Drug-like,199.24842,3.064,MMV006913,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506730>,1,0.695,MEDIUM
BAS 1544228,4000,Drug-like,331.41424,3.93,MMV008127,<rdkit.Chem.rdchem.Mol object at 0x00000240F95066C0>,1,0.775,MEDIUM
F5091-0273,929,Drug-like,465.46345,4.339,MMV403679,<rdkit.Chem.rdchem.Mol object at 0x00000240F95065E0>,1,0.675,MEDIUM
STK547406,707,Drug-like,362.2675,3.905,MMV006545,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506570>,1,0.835,HIGH
STK067184,735,Drug-like,383.66743,4.321,MMV019700,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506490>,1,0.7475,MEDIUM
STK327320,1075,Drug-like,377.50252,4.271,MMV019670,<rdkit.Chem.rdchem.Mol object at 0x00000240F95063B0>,1,0.875,HIGH
STK024238,755.5,Drug-like,286.19687,4.128,MMV001344,<rdkit.Chem.rdchem.Mol object at 0x00000240F95062D0>,1,0.58,MEDIUM
STK110845,611,Drug-like,358.47604,4.814,MMV011795,<rdkit.Chem.rdchem.Mol object at 0x00000240F95061F0>,1,0.8,HIGH
STK863826,1089.5,Drug-like,373.40456,4.022,MMV019124,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506110>,1,0.745,MEDIUM
STK895036,927,Drug-like,323.34587,2.56,MMV006767,<rdkit.Chem.rdchem.Mol object at 0x00000240F95060A0>,1,0.64,MEDIUM
STK723365,1140,Drug-like,274.31832,3.582,MMV007808,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505FC0>,1,0.54,MEDIUM
6965313,1010,Drug-like,367.2696,3.819,MMV019017,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505EE0>,1,0.7358333333333333,MEDIUM
OSSL_345968,959,Drug-like,472.4397,4.902,MMV396681,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505E00>,1,0.66,MEDIUM
STK552090,700,Drug-like,345.8266,2.401,MMV006587,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505D90>,1,0.7916666666666667,MEDIUM
STK391606,ND,Drug-like,357.40516,4.387,MMV019202,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505CB0>,1,0.72875,MEDIUM
STK927476,660,Drug-like,308.41735,4.023,MMV000848,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505BD0>,1,0.89,HIGH
STK446932,1020,Drug-like,456.9666,4.379,MMV020275,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505AF0>,1,0.865,HIGH
STK285909,800.5,Drug-like,383.71049,3.925,MMV019918,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505A80>,1,0.7766666666666667,MEDIUM
